name;url;colocated
HackMIT'14;https://hackmit2014.devpost.com/;True
Kii Cloud App Challenge;https://kii.devpost.com/;False
health++_2017;https://healthplusplus2017.devpost.com/;False
AllJoyn™ Peer-2-Peer App Challenge;https://alljoyn.devpost.com/;False
HackGSU - Spring 2018;https://hackgsu-spring-2018.devpost.com/;True
DevilsInvent.IoT;https://devilsinvent.devpost.com/;True
RU Mobile/IoT Hackathon;https://ru-mobile-iot-hackathon-5048.devpost.com/;True
Hackagong 2014;https://hackagong2014.devpost.com/;True
Uber Hackathon;https://uberhackathon.devpost.com/;False
Jaipur Hackathons;https://jaipurhackathons.devpost.com/;True
Local Hack Day @ Swarthmore College;https://lhdswat-2017.devpost.com/;True
FCC Open Internet Apps Challenge;https://openinternetapps.devpost.com/;False
RootsTech Innovator Showdown;https://rootstech2016.devpost.com/;False
TechCrunch Disrupt NY Hackathon;https://disruptnyhackathon.devpost.com/;True
QHacks 2016;https://qhacks2016.devpost.com/;True
HackTCNJ 2015;https://hacktcnj2015.devpost.com/;True
BrumHack 5.0;https://brumhack5.devpost.com/;True
POST /bank/hackathon/cologne;https://postbank-hackathon-cologne.devpost.com/;True
VandyHacks III;https://vandyhacks3.devpost.com/;True
HackRPI;https://hackrpi2015.devpost.com/;True
McGill Physics Hackathon;https://mcgill-physics-hackathon.devpost.com/;True
HackingEDU;https://hackingedu.devpost.com/;True
Gavel-Test;https://gavel-test-5036.devpost.com/;True
Startupbootcamp Digital Health Hackathon;https://sbc-dh-2017.devpost.com/;True
Hack !T 2;https://hackit.devpost.com/;True
BoilerMake IV;https://boilermake-iv.devpost.com/;True
nwHacks 2016;https://nwhacks2016.devpost.com/;True
HackUNT 2018;https://hackunt2018.devpost.com/;True
Hacknarök;https://hacknarok.devpost.com/;True
Columbia DevFest 2018;https://columbia-devfest-2018.devpost.com/;True
Horizons Hackathon;https://horizons.devpost.com/;True
CodeOne Omaha;https://codeone-omaha-2893.devpost.com/;True
CopenHacks;https://copenhacks.devpost.com/;True
EngHack S17;https://enghack-s17.devpost.com/;True
CoolerHack;https://coolerhack.devpost.com/;True
a16z Battle of the Hacks 4.0;https://battleofthehacks4.devpost.com/;True
TechCrunch Disrupt SF Hackathon;https://disruptsfhackathon.devpost.com/;True
JAMCHESTER 2017;https://jamchester-2017.devpost.com/;True
ESE111, (Fall 2016), Atoms, Bits, Circuits and Systems;https://ese111f16.devpost.com/;False
hack.init() 2017;https://hackinit.devpost.com/;True
Dragon Hacks 2016;https://dragonhacks2016.devpost.com/;True
HackState;https://hackstate.devpost.com/;True
Engineering Challenge Day #wawdtwsbd;https://challenge-day-wawdtwsbd.devpost.com/;False
Clinical Trial Visualization Redesign;https://ctdesign.devpost.com/;False
KikHackathon;https://kikhackathon.devpost.com/;True
Fishackathon 2016;https://fishackathon2016.devpost.com/;False
HealthHackSTL 2018;https://healthhackstl2018.devpost.com/;True
Fishackathon 2015;https://fishackathon2015.devpost.com/;False
CruzHacks 2018;https://cruzhacks2018.devpost.com/;True
